Id;Name;Description;ServerName;TopicName;Address;Coef;Offset;LogEnabled;AlEnabled;AlBool;MemTag;MbsTcpEnabled;MbsTcpFloat;SnmpEnabled;RTLogEnabled;AlAutoAck;ForceRO;SnmpOID;AutoType;AlHint;AlHigh;AlLow;AlTimeDB;AlLevelDB;IVGroupA;IVGroupB;IVGroupC;IVGroupD;PageId;RTLogWindow;RTLogTimer;LogDB;LogTimer;AlLoLo;AlHiHi;MbsTcpRegister;MbsTcpCoef;MbsTcpOffset;EEN;ETO;ECC;ESU;EAT;ESH;SEN;STO;SSU;TEN;TSU;FEN;FFN;FCO;KPI;Type;AlStat;ChangeTime;TagValue;TagQuality;AlType
41;"BMS_1_Max_T";"";"MODBUS";"B";"+310906I";1;0;1;0;0;0;0;0;0;0;0;0;1;1;"";0;0;0;0;0;0;0;1;1;600;10;-1;600;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;2;0;"21/02/2020 16:27:12";25;65472;0
42;"BMS_1_Min_T";"";"MODBUS";"B";"+310907I";1;0;1;0;0;0;0;0;0;0;0;0;1;1;"";0;0;0;0;0;0;0;1;1;600;10;-1;600;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;2;0;"21/02/2020 16:32:39";19;65472;0
43;"Comms_PCS_2";"";"MODBUS";"A";"Status,2,10.0.33.238";1;0;0;1;0;0;0;0;0;0;0;0;1;1;"PCS 2 Comms Error";2;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;8;"solon.mardapittas@powerstar.com";"";"";"";0;0;"";"";0;"";0;"";"";0;3;4;"21/02/2020 15:22:40";1;65472;0
45;"BMS_2_Max_T";"";"MODBUS";"B";"+310926I";1;0;1;0;0;0;0;0;0;0;0;0;1;1;"";0;0;0;0;0;0;0;1;1;600;10;-1;600;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;2;0;"21/02/2020 16:27:12";25;65472;0
46;"BMS_2_Max_V";"";"MODBUS";"B";"+310924";0.001;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;1;1;600;10;-1;10;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:32";3.627;65472;0
47;"BMS_2_Min_T";"";"MODBUS";"B";"+310927I";1;0;1;0;0;0;0;0;0;0;0;0;1;1;"";0;0;0;0;0;0;0;1;1;600;10;-1;600;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;2;0;"21/02/2020 16:27:12";20;65472;0
48;"BMS_2_Min_V";"";"MODBUS";"B";"+310925";0.001;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;1;1;600;10;-1;10;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:32";3.613;65472;0
49;"BMS_3_Max_T";"";"MODBUS";"B";"+310946I";1;0;1;0;0;0;0;0;0;0;0;0;1;1;"";0;0;0;0;0;0;0;1;1;600;10;-1;600;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;2;0;"21/02/2020 16:27:12";26;65472;0
50;"BMS_3_Max_V";"";"MODBUS";"B";"+310944";0.001;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;1;1;600;10;-1;10;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:33";3.624;65472;0
51;"BMS_3_Min_T";"";"MODBUS";"B";"+310947I";1;0;1;0;0;0;0;0;0;0;0;0;1;1;"";0;0;0;0;0;0;0;1;1;600;10;-1;600;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;2;0;"21/02/2020 16:32:52";19;65472;0
52;"BMS_3_Min_V";"";"MODBUS";"B";"+310945";0.001;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;1;1;600;10;-1;10;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:33";3.613;65472;0
53;"EMS_SoC_2";"";"MODBUS";"B";"+310922";0.1;0;1;1;0;0;0;0;0;0;1;0;1;0;"SoC Alarm";96;12;0;0;1;0;0;1;1;600;10;-1;60;"";"";1;1;0;8;"sheeran.chen@powerstar.com";"solon.mardapittas@powerstar.com,leonard.emaki@powerstar.com,ArdaCan.Ertay@powerstar.com,olivia.zeng@powerstar.com";"EMS Soc Alert - Safran Virtue";"";1;0;"";"";0;"";0;"";"";0;1;0;"21/02/2020 16:33:12";29.8;65472;0
54;"EMS_SoC_3";"";"MODBUS";"B";"+310942";0.1;0;1;1;0;0;0;0;0;0;1;0;1;0;"SoC Alert";96;12;0;0;1;0;0;1;1;600;10;-1;60;"";"";1;1;0;8;"sheeran.chen@powerstar.com";"solon.mardapittas@powerstar.com,leonard.emaki@powerstar.com,ArdaCan.Ertay@powerstar.com,olivia.zeng@powerstar.com";"EMS Soc Alert - Safran Virtue";"";1;0;"";"";0;"";0;"";"";0;1;0;"21/02/2020 16:33:29";29.7;65472;0
55;"PCS_1_DC_I";"DC Batt Current";"MODBUS";"B";"+310122";0.1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:35";2;65472;0
56;"PCS_1_DC_V";"";"MODBUS";"B";"+310121";0.1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:35";716.5;65472;0
57;"PCS_1_DC_P";"";"MODBUS";"B";"+310123";0.1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:35";1.4;65472;0
58;"PCS_1_Vab";"";"MODBUS";"B";"+310124";0.1;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;60;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:35";407.6;65472;0
59;"PCS_1_Vbc";"";"MODBUS";"B";"+310125";0.1;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;60;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:35";408.8;65472;0
60;"PCS_1_Vca";"";"MODBUS";"B";"+310126";0.1;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;60;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:35";406.6;65472;0
61;"PCS_1_Freq";"";"MODBUS";"C";"42008";0.01;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:34";49.99;65472;0
62;"PCS_1_Ia";"";"MODBUS";"B";"+310128";0.1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:33";18.4;65472;0
63;"PCS_1_Ib";"";"MODBUS";"B";"+310129";0.1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:33";22;65472;0
64;"PCS_1_Ic";"";"MODBUS";"B";"+310130";0.1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:33";15.2;65472;0
65;"PCS_1_Pact";"";"MODBUS";"B";"+310131I";0.1;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;60;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:33";0;65472;0
66;"PCS_1_Preact";"";"MODBUS";"B";"+310132I";0.1;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;60;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:33";2.2;65472;0
67;"PCS_1_Pf";"";"MODBUS";"B";"+310133I";0.001;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:00";1;65472;0
68;"PCS1_Fault_1";"DC Over-Voltage";"MODBUS";"C";"42024#0";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"DC Over-Voltage";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;8;"solon.mardapittas@powerstar.com";"";"";"";0;0;"";"";0;"";0;"";"";0;0;0;"20/02/2020 18:24:32";0;65472;0
69;"PCS_2_DC_I";"DC Batt Current";"MODBUS";"B";"+310152";0.1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:34";5.9;65472;0
70;"PCS_2_DC_V";"";"MODBUS";"B";"+310151";0.1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:32";713.6;65472;0
71;"PCS_2_DC_P";"";"MODBUS";"B";"+310153";0.1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:34";4.2;65472;0
72;"PCS_2_Vab";"";"MODBUS";"B";"+310154";0.1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:34";408.4;65472;0
73;"PCS_2_Vbc";"";"MODBUS";"B";"+310155";0.1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:32";410;65472;0
74;"PCS_2_Vca";"";"MODBUS";"B";"+310156";0.1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:34";407.4;65472;0
75;"PCS_2_Freq";"";"MODBUS";"B";"+310157";0.01;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:34";49.99;65472;0
76;"PCS_2_Ia";"";"MODBUS";"B";"+310158";0.1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:32";19.2;65472;0
77;"PCS_2_Ib";"";"MODBUS";"B";"+310159";0.1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:34";22.8;65472;0
78;"PCS_2_Ic";"";"MODBUS";"B";"+310160";0.1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:34";20.4;65472;0
79;"PCS_2_Pact";"";"MODBUS";"B";"+310161I";0.1;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;60;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:34";0.2;65472;0
80;"PCS_2_Preact";"";"MODBUS";"B";"+310162I";0.1;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;60;10;-1;60;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:34";0.2;65472;0
81;"PCS_2_Pf";"";"MODBUS";"B";"+310163I";0.001;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:34";0.714;65472;0
82;"PCS_3_DC_I";"DC Batt Current";"MODBUS";"B";"+310182";0.1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:34";4.1;65472;0
83;"PCS_3_DC_V";"";"MODBUS";"B";"+310181";0.1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:34";719;65472;0
84;"PCS_3_DC_P";"";"MODBUS";"B";"+310183";0.1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:34";2.9;65472;0
85;"PCS_3_Vab";"";"MODBUS";"B";"+310184";0.1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:34";408.2;65472;0
86;"PCS_3_Vbc";"";"MODBUS";"B";"+310185";0.1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:33";409.2;65472;0
87;"PCS_3_Vca";"";"MODBUS";"B";"+310186";0.1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:34";407.4;65472;0
88;"PCS_3_Freq";"";"MODBUS";"B";"+310187";0.01;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:33";49.98;65472;0
89;"PCS_3_Ia";"";"MODBUS";"B";"+310188";0.1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:34";14.8;65472;0
90;"PCS_3_Ib";"";"MODBUS";"B";"+310189";0.1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:34";17.2;65472;0
91;"PCS_3_Ic";"";"MODBUS";"B";"+310190";0.1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:34";16.4;65472;0
92;"PCS_3_Pact";"";"MODBUS";"B";"+310191I";0.1;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;60;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:29";0;65472;0
93;"PCS_3_Preact";"";"MODBUS";"B";"+310192I";0.1;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;60;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:34";-0.6;65472;0
94;"PCS_3_Pf";"";"MODBUS";"B";"+310193I";0.001;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:34";0.115;65472;0
95;"PCS_T_Pact";"";"MODBUS";"B";"+310054I";0.1;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;1;1;600;10;-1;60;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:34";0.2;65472;0
96;"PCS_T_Preact";"";"MODBUS";"B";"+310055I";0.1;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;60;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:34";1.8;65472;0
97;"PCS_T_Pf";"";"MODBUS";"B";"+310056I";0.001;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;60;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:34";0.11;65472;0
98;"EMS_System_Status";"";"MODBUS";"B";"+313000D";1;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;3;0;"20/02/2020 18:24:34";16;65472;0
99;"PCS_2_Work_Status";"";"MODBUS";"B";"+310168D";1;0;1;0;0;0;0;0;0;0;0;0;1;1;"";0;0;0;0;0;0;0;0;1;600;10;1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;3;0;"21/02/2020 15:25:39";128;65472;0
100;"PCS_3_Work_Status";"";"MODBUS";"B";"+310198D";1;0;1;0;0;0;0;0;0;0;0;0;1;1;"";0;0;0;0;0;0;0;0;1;600;10;1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;3;0;"21/02/2020 15:25:07";128;65472;0
101;"EMS_Mgrid_V_AC";"";"MODBUS";"B";"+310077";0.1;0;0;0;0;0;0;0;0;0;1;0;1;0;"SoC Alert";80;20;0;0;1;0;0;0;1;600;10;-1;60;"";"";1;1;0;0;"";"";"";"";0;0;"";"";0;"";0;"";"";0;1;0;"21/02/2020 16:33:34";408.6;65472;0
102;"EMS_Mgrid_Freq";"";"MODBUS";"B";"+310078";0.01;0;0;0;0;0;0;0;0;0;1;0;1;0;"SoC Alert";80;20;0;0;1;0;0;0;1;600;10;-1;60;"";"";1;1;0;0;"";"";"";"";0;0;"";"";0;"";0;"";"";0;1;0;"21/02/2020 16:33:34";49.98;65472;0
103;"EMS_Rated_Power";"";"MODBUS";"B";"+310051";0.1;0;0;0;0;0;0;0;0;0;1;0;1;0;"SoC Alert";80;20;0;0;1;0;0;0;1;600;10;-1;60;"";"";1;1;0;0;"";"";"";"";0;0;"";"";0;"";0;"";"";0;1;0;"20/02/2020 18:24:34";2000;65472;0
104;"EMS_Grid_State";"1 = normal, 0 = abnormal";"MODBUS";"B";"+310053";1;0;0;0;0;0;0;0;0;0;1;0;1;1;"SoC Alert";80;20;0;0;1;0;0;0;1;600;10;-1;60;"";"";1;1;0;0;"";"";"";"";0;0;"";"";0;"";0;"";"";0;3;0;"20/02/2020 18:24:34";1;65472;0
105;"PCS_in_service";"";"MODBUS";"B";"+310073";1;0;0;0;0;0;0;0;0;0;1;0;1;1;"SoC Alert";80;20;0;0;1;0;0;0;1;600;10;-1;60;"";"";1;1;0;0;"";"";"";"";0;0;"";"";0;"";0;"";"";0;3;0;"21/02/2020 15:24:38";3;65472;0
106;"PCS_Charge_Left";"";"MODBUS";"B";"+310065D";1;0;0;0;0;0;0;0;0;0;1;0;1;1;"SoC Alert";80;20;0;0;1;0;0;0;1;600;10;-1;60;"";"";1;1;0;0;"";"";"";"";0;0;"";"";0;"";0;"";"";0;3;0;"21/02/2020 16:32:57";23803;65472;0
107;"PCS_Discharge_Left";"";"MODBUS";"B";"+310067D";1;0;0;0;0;0;0;0;0;0;1;0;1;1;"SoC Alert";80;20;0;0;1;0;0;0;1;600;10;-1;60;"";"";1;1;0;0;"";"";"";"";0;0;"";"";0;"";0;"";"";0;3;0;"21/02/2020 16:32:50";22800;65472;0
108;"PCS_1_Charge_Left";"";"MODBUS";"B";"+310134D";1;0;0;0;0;0;0;0;0;0;0;0;1;1;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;3;0;"21/02/2020 16:26:43";7751;65472;0
109;"PCS_2_Charge_Left";"";"MODBUS";"B";"+310164D";1;0;0;0;0;0;0;0;0;0;0;0;1;1;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;3;0;"21/02/2020 16:26:28";7749;65472;0
110;"PCS_3_Charge_Left";"";"MODBUS";"B";"+310194D";1;0;0;0;0;0;0;0;0;0;0;0;1;1;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;3;0;"21/02/2020 16:32:57";8303;65472;0
111;"PCS_1_Discharge_Left";"";"MODBUS";"B";"+310136D";1;0;0;0;0;0;0;0;0;0;0;0;1;1;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;3;0;"21/02/2020 16:32:50";7489;65472;0
112;"PCS_2_Discharge_Left";"";"MODBUS";"B";"+310166D";1;0;0;0;0;0;0;0;0;0;0;0;1;1;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;3;0;"21/02/2020 16:32:46";7254;65472;0
113;"PCS_3_Discharge_Left";"";"MODBUS";"B";"+310196D";1;0;0;0;0;0;0;0;0;0;0;0;1;1;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;3;0;"21/02/2020 16:32:49";8057;65472;0
